Sigla da IES,Nome da IES,Código do Curso,Nome do Curso,Grau,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,42789,PEDAGOGIA,Licenciatura,0,4920,Semestral,,3268,CIDADE UNIVERSITARIA JOSÉ DA SILVEIRA NETTO,Rua Paraiba,29,,Funcionários,3106200,Belo Horizonte,MG
IFMT,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus XIII - Tucuruí,,,,,,,
UFPA,UNIVERSIDADE FEDERAL DO PARÁ,1186804,LETRAS - LIBRAS,Licenciatura,40,3132,Semestral,8,1005925,Campus Universitário Cidade do Recife,RUA AUGUSTO CORREA,1,CIDADE UNIVERSITARIA JOSÉ DA SILVEIRA NETTO,GUAMÁ,1501402,Belém,PA
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,1488158,CIÊNCIAS BIOLÓGICAS,Licenciatura,40,3840,Semestral,,1761,Unidade de Cachoeira do Sul,Rua 4,20,,Santa Mônica,1508100,Tucuruí,PA
UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,13589,FÍSICA,Bacharelado,30,2560,Semestral,8,1153,Câmpus de Assis / Faculdade de Ciências e Letras,Av. Prof. Moraes Rego,1.235,,Cidade Universitária,2611606,Recife,PE
IFRS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,PROF. ARISTON DIAS LIMA - SÃO RDO. NONATO,,,,,,,
UERGS,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,104954,AGROPECUÁRIA,Tecnológico,40,2475,Semestral,,702643,Faculdade de Tecnologia de Jundiaí,Rua Sete de Setembro,1040,,Centro,4303004,Cachoeira do Sul,RS
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,3171,LETRAS,Licenciatura,140,3210,Anual,,720,Campus X - Teixeira de Freitas,Avenida Dom Antonio,2100,,Vila Tênis Clube,3504008,Assis,SP
UESPI,UNIVERSIDADE ESTADUAL DO PIAUÍ,1357857,GEOGRAFIA,Licenciatura,50,3160,Semestral,8,154346,CAMPUS MINISTRO PETRÔNIO PORTELLA - Unidade SEDE,RUA ANTONIO CARVALHO,S/N,,CENTRO,2210607,São Raimundo Nonato,PI
FATEC/JD,FACULDADE DE TECNOLOGIA DE JUNDIAÍ,1177371,GESTÃO AMBIENTAL,Tecnológico,80,2800,Semestral,,659719,Câmpus São Bernardo do Campo,Avenida União dos Ferroviários,1760,,Centro,3525904,Jundiaí,SP
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,38736,CIÊNCIAS BIOLÓGICAS,Licenciatura,40,3315,Semestral,,1051280,POLO NA SEDE,Avenida Kaikan,S/N,,Kaikan,2931350,Teixeira de Freitas,BA
UFPI,UNIVERSIDADE FEDERAL DO PIAUÍ,300518,FÍSICA,Licenciatura,100,3120,Semestral,10,102559,LUZILÂNDIA,Campus Universitário Ministro Petrônio Portela,s/n,SG - 07,Ininga,2211001,Teresina,PI
IFPR,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Unidade Universitária de Naviraí,,,,,,,
UFABC,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,123345,CIÊNCIAS ECONÔMICAS,Bacharelado,74,3096,Quadrimestral,,1060049,Instituto de Artes - IA/UNICAMP,Alameda da Universidade,S/N,,Anchieta,3548708,São Bernardo do Campo,SP
UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,313448,MATEMÁTICA,Bacharelado,10,2400,Semestral,8,1005290,UFRA- CAMPUS PARAUAPEBAS,Universidade Federal de Campina Grande,882,Rua Aprígio Veloso,Universitário,2504009,Campina Grande,PB
UESPI,UNIVERSIDADE ESTADUAL DO PIAUÍ,43317,LETRAS - PORTUGUÊS,Licenciatura,40,2460,Anual,,766,Universidade Federal Rural da Amazônia - Unidade SEDE,Rua Sete de Setembro,S/N,,Centro,2205805,Luzilândia,PI
UEMS,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,68315,DIREITO,Bacharelado,50,4177,Anual,,2592,Campus XX - Brumado,Rua Emílio Mascoli,,,,,,
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,60777,MÚSICA,Bacharelado,0,2280,Semestral,8,702307,Cidade Universitária,Rua Elis Regina,50,,Cidade Universitária,3509502,Campinas,SP
UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,1270725,ADMINISTRAÇÃO,Bacharelado,50,3010,Semestral,,1073462,Campus de Natal,PA 275,,,,,,
UNCISAL,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,1428334,ALIMENTOS,Tecnológico,30,2720,Semestral,,657691,Núcleo de Ensino  Superior da UEA em Santo Antonio do Içá,Rua Jorge de Lima,113,,Trapiche da Barra,2704302,Maceió,AL
IFPB,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS DAS AURORAS,,,,,,,
UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,14558,ENGENHARIA FLORESTAL,Bacharelado,120,3780,Semestral,10,1033603,Campus XVII - Vigia de Nazaré,Avenida Presidente Tancredo Neves,2501,,Terra Firme,1501402,Belém,PA
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,91427,PEDAGOGIA,Licenciatura,50,3240,Semestral,,1051339,Campus do Junco,Avenida Lindolfo Azevedo Brito,1170,,Rodovia Brumado/Livramento Km 001,2904605,Brumado,BA
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,11430,HISTÓRIA,Bacharelado,32,2400,Semestral,,1006314,Unidade Bequimão,Avenida dos Portugueses,1966,,Vila Bacanga,2111300,São Luís,MA
UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,12340,ENGENHARIA ELÉTRICA,Bacharelado,92,3840,Semestral,10,1036249,Unidade SEDE,Avenida Senador  Salgado Filho,3000,Campus Universitário,Lagoa Nova,2408102,Natal,RN
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1343868,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,42,2800,Semestral,,2206,Escola de Engenharia de Lorena - EEL,Avenida Adrião Rabelo Garcia,s/nº,E.E..R. Garcia,Santa Etelvina,1303700,Santo Antônio do Içá,AM
