Sigla da IES,Nome da IES,Código do Curso,Nome do Curso,Grau,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF
UFRB,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,1135527,INTERDISCIPLINAR EM SAÚDE,Bacharelado,260,2560,Semestral,6,1005209,Núcleo de Ensino Superior de Manicoré,Avenida Carlos Amaral (Antigo Campus do Governo),1015,Campus Santo Antonio de Jesus,Cajueiro,2928703,Santo Antônio de Jesus,BA
UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,117128,FILOSOFIA,Licenciatura,45,3340,Semestral,,103257,Campus CEDETEG,Rodovia BR 465 - KM 7,s/n,,Campus Universitário,3305554,Seropédica,RJ
IF Goiano,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Realeza,,,,,,,
UFC,UNIVERSIDADE FEDERAL DO CEARÁ,37265,ENGENHARIA DE PRODUÇÃO MECÂNICA,Bacharelado,60,3600,Semestral,10,600034,POLO SEDE,Rua Campus do Pici,s/n,,Pici,2304400,Fortaleza,CE
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,1179247,ENGENHARIA AMBIENTAL E SANITÁRIA,Bacharelado,40,4552,Semestral,,1759,Campus Mata Norte,Avenida Bom Jesus,S/N,,Mutirão,1500602,Altamira,PA
IFSC,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Unidade de Porto Alegre,,,,,,,
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1144337,HISTÓRIA,Licenciatura,50,3375,Semestral,8,152868,CÂMPUS SANCLERLÂNDIA,Travessa Monsenhor Barros,s/n,Unidade Escolar Hugo Napoleão,Centro,2106102,Loreto,MA
IFPE,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS  - ILHÉUS - SALOBRINHO,,,,,,,
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1486209,ENGENHARIA CIVIL,Bacharelado,40,3600,Anual,,2038,CAMPUS PAULO AFONSO,Estrada Odovaldo Novo,s/n,,Djarde Vieira,1303403,Parintins,AM
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,85136,CIÊNCIAS BIOLÓGICAS,Licenciatura,100,3760,Semestral,,700931,CAMPUS  PETROLINA,Avenida São Paulo,3996,,Vila Rosário,3129806,Ibirité,MG
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2702,MÚSICA,Licenciatura,65,2610,Semestral,4,702307,CAMPUS  - BARRACÃO - INDUSTRIAL,Rua Elis Regina,50,,Cidade Universitária,3509502,Campinas,SP
UFOP,UNIVERSIDADE FEDERAL DE OURO PRETO,588,ENGENHARIA GEOLÓGICA,Bacharelado,72,4585,Semestral,10,663,Jorge Amado,Rua Paulo Magalhães Gomes,s/n,,Bauxita,3146107,Ouro Preto,MG
UFPA,UNIVERSIDADE FEDERAL DO PARÁ,114910,CIÊNCIAS NATURAIS,Licenciatura,70,2994,Semestral,,1005925,CEFET-RJ - MARIA DA GRAÇA,RUA AUGUSTO CORREA,1,CIDADE UNIVERSITARIA JOSÉ DA SILVEIRA NETTO,GUAMÁ,1501402,Belém,PA
USP,UNIVERSIDADE DE SÃO PAULO,51968,TERAPIA OCUPACIONAL,Bacharelado,20,3375,Semestral,,1078743,Centro Universitário Norte do Espírito Santo - CEUNES,Av. Bandeirantes,3900,Faculdade de Medicina de Ribeirão Preto - USP,Vila Monte Alegre,3543402,Ribeirão Preto,SP
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1157456,PEDAGOGIA INTERCULTURAL INDíGENA,Licenciatura,50,3210,Semestral,,600132,CAMPUS  - DIAMANTINO - JARDIM ELDORADO,AVENIDA AJURICABA,110,,Centro,1303205,Novo Airão,AM
UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,22948,LETRAS - FRANCÊS E LITERATURAS DE LÍNGUA FRANCESA,Licenciatura,15,3395,Semestral,,1005524,BALSAS,Avenida João Naves de Ávila,2121,,Santa Mônica,3170206,Uberlândia,MG
FMPFM,FACULDADE MUNICIPAL PROFESSOR FRANCO MONTORO DE MOGI GUAÇU,50920,ENGENHARIA AMBIENTAL E SANITÁRIA,Bacharelado,60,4924,Anual,,1051511,Rosário,Rua dos Estudantes,s/n,,Cachoeira de Cima,3530706,Mogi Guaçu,SP
UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,121513,ENGENHARIA FLORESTAL,Bacharelado,40,3645,Semestral,,34805,Câmpus do Pantanal - CPAN,Avenida Universitária,1000,,JK,3143302,Montes Claros,MG
UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,80010,ODONTOLOGIA,Bacharelado,40,4140,Semestral,10,301,Unidade Barra do Corda,Rua José Moreira Sobrinho,s/n,,Jequiezinho,2918001,Jequié,BA
UFMS,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1111636,ENFERMAGEM,Bacharelado,50,4335,Semestral,10,1635,ISE - Instituto Superior de Educação,Avenida Marcio Lima Nantes,s/n,Estrada do Pantanal,Vila da Barra,5003306,Coxim,MS
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,1399011,PEDAGOGIA,Licenciatura,40,3530,Semestral,,1551,CAMPUS PARAGOMINAS - UFRA,Rodovia Alagoinhas,,,,,,
UFRPE,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,14512,CIÊNCIAS BIOLÓGICAS,Licenciatura,160,2990,Semestral,,106230,REGIONAL GOIÂNIA - CÂMPUS SAMAMBAIA,Rua Dom Manoel de Medeiros,s/n,,Dois Irmãos,2611606,Recife,PE
UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,121517,CINEMA DE ANIMAÇÃO E ARTES DIGITAIS,Bacharelado,40,2700,Semestral,,103266,Escola Municipal Raimunda Guedes,Avenida Antonio Carlos,6627,,Pampulha,3106200,Belo Horizonte,MG
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,1270685,ENGENHARIA DE PESCA,Bacharelado,50,4155,Semestral,10,1060906,UNIDADE  - JUAZEIRO DO NORTE - TRIÂNGULO,Estrada de Pacas,S/N,,Enseada,2108603,Pinheiro,MA
UFSM,UNIVERSIDADE FEDERAL DE SANTA MARIA,45328,CIÊNCIAS BIOLÓGICAS,Licenciatura,22,3350,Semestral,8,657977,CAMPUS UNIVERSITÁRIO DE PORTO NACIONAL,Cidade Universitária Prof. José Mariano da Rocha Filho,,,,,,
UNIOESTE,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,14699,LETRAS,Licenciatura,20,3396,Anual,,550,Campus São José dos Campos - Unidade Parque Tecnológico,RUA UNIVERSITÁRIA,1619,,JARDIM UNIVERSITÁRIO,4104808,Cascavel,PR
UFMT,UNIVERSIDADE FEDERAL DE MATO GROSSO,112770,ENGENHARIA SANITARIA E AMBIENTAL,Bacharelado,66,3700,Semestral,10,105340,Núcleo Avançado de Educação Superior de Umarizal,Avenida Fernando Correa da Costa,2367,Cidade Universitária,Boa Esperança,5103403,Cuiabá,MT
UNESPAR,Universidade Estadual do Paraná,71002,PEDAGOGIA,Licenciatura,33,3380,Anual,,658032,Faculdade de Engenharia Mecanica - FEM/UNICAMP,Praça Coronel Amazonas,S/N,,CENTRO,4128203,União da Vitória,PR
FEITA,FACULDADE DE EDUCAÇÃO DE ITABORAÍ,26679,PEDAGOGIA,Licenciatura,88,3180,Anual,,658035,Campus Sorocaba,Avenida Antônio Gomes,1250,PRÉDIO,PARQUE ROYAL,3301900,Itaboraí,RJ
IFMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Sao Gabriel - Sede Academica,,,,,,,
IFSEMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Pojuca,,,,,,,
IFMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,UNIDADE DIVINÓPOLIS,,,,,,,
UFRR,UNIVERSIDADE FEDERAL DE RORAIMA,118061,GEOLOGIA,Bacharelado,40,3600,Semestral,10,1033528,PÓLO BOCA DA MATA PROESP,Avenida Capitão Ene Garcez,2413,,Aeroporto,1400100,Boa Vista,RR
IFS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Santa Luzia do Paruá Centro de Ensino Professor Cleobeto de Oliveira Mesquita,,,,,,,
UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,122606,ENGENHARIA AMBIENTAL E SANITÁRIA,Bacharelado,100,4094,Semestral,10,1000100,CAMPUS SANTO ANTONIO DA PATRULHA,Rua Prof. Edmir Sá Santos,S/N,,Campus Universitário,3138203,Lavras,MG
IF Goiano,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Centro de Estudos Superiores de Itapecuru-Mirim,,,,,,,
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,29358,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,40,2855,Semestral,,1565,Sede administrativa (Reitoria),Rua Maximo Madureira,s/n,Prédio do Colégio Estadual Olgarina Pitangueiras Pinheiro,Fluminense,2908408,Conceição do Coité,BA
UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,105359,PROGRAMA ESPECIAL DE COMPLEMENTAÇÃO PEDAGÓGICA PARA PROFESSORES DA REDE ESTADUAL DO AMAPÁ,Licenciatura,30,690,Anual,1,1006640,CAMPUS  - CHAPECÓ - EFAPI,Rodovia Juscelino Kubitschek,S/N,KM 2,Zerão,1600303,Macapá,AP
UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,5001466,MEDICINA,Bacharelado,60,7760,Semestral,12,1106574,Instituto de Química - IQ/UNICAMP,Area Área Rural,S/N,Campus Toledo,Área Rural de Toledo,4127700,Toledo,PR
IFMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Núcleo de Ensino Superior da UEA em Boca do Acre,,,,,,,
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1330301,EDUCAÇÃO FÍSICA,Licenciatura,40,3245,Semestral,,697058,CAMPUS CENTRAL,Avenida Carvalho Leal,1777,Escola Superior de Ciências da Saúde,Cachoeirinha,1302603,Manaus,AM
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,108248,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,32,2085,Semestral,,1052075,Esola Superior de Ciências Sociais - ESO,Rua Camilo Morato,-,Av. Coronel Luis Gomes,,,,
IFMT,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Instituto de Geociências - IG/UNICAMP,,,,,,,
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,302684,FÍSICA,Bacharelado,0,3255,Semestral,10,1052258,Campus IV- Centro de Ciências Aplicadas e Educação - CCAE - Rio Tinto,Rua Sérgio Buarque de Holanda,777,,Cidade Universitária,3509502,Campinas,SP
IFRS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS ITAPIPOCA,,,,,,,
IFCE,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,NÚCLEO PEDAGÓGICO DE VILA RICA,,,,,,,
UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,101608,ADMINISTRAÇÃO,Bacharelado,50,3210,Semestral,8,361,Campus Dra. Josefina Demes,Estrada 10 de Maio,s/nº,Campus Universitário,Colônia,1300607,Benjamin Constant,AM
UFMS,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,52136,ADMINISTRAÇÃO,Bacharelado,50,3014,Semestral,,1636,Câmpus Experimental de São João da Boa Vista,Avenida Pedro Pedrossian,725,Campus Universitário,Universitário,5006309,Paranaíba,MS
IFG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS UNIVERSITÁRIO DE GURUPI,,,,,,,
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,3222,CIÊNCIAS BIOLÓGICAS,Licenciatura,40,3390,Anual,7,720,CAMPUS JUAZEIRO,Avenida Dom Antonio,2100,,Vila Tênis Clube,3504008,Assis,SP
UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,318388,FÍSICA,Bacharelado,20,2640,Semestral,8,1005290,Campus Uruguaiana,Universidade Federal de Campina Grande,882,Rua Aprígio Veloso,Universitário,2504009,Campina Grande,PB
USP,UNIVERSIDADE DE SÃO PAULO,321359,CIÊNCIAS BIOLÓGICAS,Bacharelado,30,3540,Semestral,,1075936,CAMPUS DE SALINOPOLIS,Rua do Matão,321,Instituto de Biociências - IB (Travessa 14),Butantã,3550308,São Paulo,SP
UNESPAR,Universidade Estadual do Paraná,58190,ADMINISTRAÇÃO,Bacharelado,140,3000,Anual,,1040913,Núcleo de Ensino Superior da UEA em Guajará,Avenida Minas Gerais,5021,RODOVIA,VILA NOVA,4101408,Apucarana,PR
UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,102156,QUÍMICA,Licenciatura,50,3550,Semestral,,1031647,U.E.M. Raio de Sol,Avenida Manoel Severino Barbosa,S/N,,Bom Sucesso,2700300,Arapiraca,AL
UFPI,UNIVERSIDADE FEDERAL DO PIAUÍ,488,NUTRIÇÃO,Bacharelado,80,3945,Semestral,9,102559,CAMPUS DOS MALÊS,Campus Universitário Ministro Petrônio Portela,s/n,SG - 07,Ininga,2211001,Teresina,PI
IF Catarinense,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Guarulhos,,,,,,,
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,1208520,LETRAS - LIBRAS,Licenciatura,40,2966,Anual,4,1044295,CÂMPUS CURITIBA - Sede ECOVILLE,Travessa Djalma Dutra,S/N,,Telégrafo Sem Fio,1501402,Belém,PA
UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,1102056,GESTÃO AMBIENTAL,Tecnológico,40,1900,Semestral,5,1032262,Instituto de Psicologia - IP,Avenida Ildefonso Simões Lopes,2791,,Não,4314407,Pelotas,RS
IFRS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Unidade Descentralizada de Petrópolis,,,,,,,
UFMS,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,28743,LETRAS - PORTUGUÊS E ESPANHOL,Licenciatura,90,3515,Semestral,,638,Campus Caçapava do Sul,Av. Costa e Silva,s/n,,Cidade Universitária,5002704,Campo Grande,MS
UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,1288845,ENGENHARIA DE PRODUÇÃO,Bacharelado,50,4032,Semestral,10,121962,CAMPUS SANTO AMARO,Av. Divaldo Suruagy - Antiga Beira Rio,,,,,,
EEP/FUMEP,ESCOLA DE ENGENHARIA DE PIRACICABA,1514109,CIÊNCIAS CONTÁBEIS,Bacharelado,80,3400,Semestral,,1041004,POLO UFPA MERCEDÁRIOS,Avenida Monsenhor Martinho Salgot,560,,Areião,3538709,Piracicaba,SP
UFV,UNIVERSIDADE FEDERAL DE VIÇOSA,1135277,CIÊNCIAS BIOLÓGICAS,Bacharelado,50,3240,Semestral,8,25596,Campus XI - Serrinha,Campus Universitário - Rodovia BR 354 - Km 310,s/n,,Centro,3155504,Rio Paranaíba,MG
FATEC-AM,FACULDADE DE TECNOLOGIA DE AMERICANA,1159625,JOGOS DIGITAIS,Tecnológico,80,2800,Semestral,,1051386,Campus Juazeiro do Norte,Rua Emílio de Menezes,s/n,,Vila Amorim,3501608,Americana,SP
UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,12079,CIÊNCIAS BIOLÓGICAS,Licenciatura,1,3299,Semestral,,1064323,Campus de Altamira,Folha 31,,,,,,
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,103309,ENFERMAGEM,Bacharelado,100,4395,Semestral,10,1062815,Núcleo de Ensino Superior de Manacapuru,,,,,,,
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus de Guajará  Mirim,,,,,,,
UEM,UNIVERSIDADE ESTADUAL DE MARINGÁ,34677,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,40,3865,Anual,,657707,REGIONAL GOIÂNIA - CAMPUS COLEMAR NATAL E SILVA,Avenida Colombo,5790,Campus Universitário,Zona 7,4115200,Maringá,PR
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Faculdade de Tecnologia de Barueri,,,,,,,
UNB,UNIVERSIDADE DE BRASÍLIA,1192415,TEORIA,,,,,,,CAMPUS DE MARABÁ - UNIDADE III,,,,,,,
FATEC-BS,FACULDADE DE TECNOLOGIA RUBENS LARA,1589551,GESTÃO DE RECURSOS HUMANOS,Tecnológico,80,2800,Semestral,,1051554,Núcleo Universitário de Tarauacá,Avenida Bartolomeu de Gusmão 110 Fatec - Faculdade de Tecnólogia da Baixada Santista,110,,Aparecida,3548500,Santos,SP
IFNMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus XXI - Ipiaú,,,,,,,
UFPA,UNIVERSIDADE FEDERAL DO PARÁ,1110447,ENGENHARIA DE PRODUÇÃO,Bacharelado,40,3885,Semestral,10,256,Universidade Federal de Alfenas - UNIFAL-MG (Sede),Rua Manoel de Abreu,S/Nº,,Multirão,1500107,Abaetetuba,PA
IF Goiano,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Angicos,,,,,,,
UFBA,UNIVERSIDADE FEDERAL DA BAHIA,13271,ENGENHARIA QUÍMICA,Bacharelado,90,4029,Semestral,10,147106,Unidade Acadêmica  de Tutóia,RUA PROF. ARISTIDES NOVIS,2,CAMPUS UNIVERSITARIO FEDERACAO/ONDINA,FEDERACAO,2927408,Salvador,BA
IFMA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS DE ITAITUBA,,,,,,,
UFPB,UNIVERSIDADE FEDERAL DA PARAÍBA,80600,HISTóRIA - MOVIMENTOS SOCIAIS DO CAMPO,Licenciatura,60,2805,Semestral,8,1001624,CAMPUS JARDIM BOTÂNICO,Cidade Universitária,s/n,Campus I,Castelo Branco,2507507,João Pessoa,PB
UENP,Universidade Estadual do Norte do Paraná,16336,PEDAGOGIA,Licenciatura,100,3200,Anual,,1056015,Núcleo de Ensino Superior da UEA em Fonte Boa,Rua Padre Melo,1200,,Jardim Marimar,4111803,Jacarezinho,PR
UNILA,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,1313254,LETRAS - ESPANHOL E PORTUGUÊS COMO LÍNGUAS ESTRANGEIRAS,Licenciatura,50,4094,Semestral,,1071745,Núcleo de Ensino Superior da UEA em Envira,Avenida Tarquínio Joslin dos Santos,1.000,UNILA-JARDIM UNIVERSITÁRIO,Jardim Universitário,4108304,Foz do Iguaçu,PR
UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,1113549,EDUCAÇÃO DO CAMPO,Licenciatura,40,4320,Semestral,8,1064323,CAMPUS CANELA - Unidades da Rua Basílio da Gama,Folha 31,,,,,,
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,41765,MATEMÁTICA,Bacharelado,1,2460,Semestral,8,1052258,Campus Avançado de Pitanga,Rua Sérgio Buarque de Holanda,777,,Cidade Universitária,3509502,Campinas,SP
UFERSA,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,68180,ZOOTECNIA,Bacharelado,50,3765,Semestral,10,102292,Unidade de SÃO BORJA,BR 110 - Km 47,s/n,,Presidente Costa e Silva,2408003,Mossoró,RN
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,47358,CIÊNCIAS SOCIAIS,Licenciatura,55,3195,Semestral,8,1052269,Campus de Sumé,Rua Cora Coralina,100,,Cidade Universitária,3509502,Campinas,SP
IFPA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,UNIDADE CAMPANHA,,,,,,,
UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,312949,CIÊNCIAS SOCIAIS,Bacharelado,40,2400,Semestral,,103266,Instituto de Educação de Angra dos Reis,Avenida Antonio Carlos,6627,,Pampulha,3106200,Belo Horizonte,MG
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1149275,MATEMÁTICA,Licenciatura,52,3170,Semestral,,600192,Campus IV - São Miguel dos Campos,Travesso Açai,S/N,,Alto,1301852,Iranduba,AM
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1152767,PEDAGOGIA,Licenciatura,40,3355,Semestral,9,2038,PÓLO TEOTÔNIO VILELA PROESP,Estrada Odovaldo Novo,s/n,,Djarde Vieira,1303403,Parintins,AM
UFOB,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,118044,FÍSICA,Licenciatura,20,3056,Semestral,8,1066442,FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO,Rua da Prainha,1326,,Morada Nobre,2903201,Barreiras,BA
UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,1452,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,80,3300,Semestral,8,1005524,CAMPUS  - FORTALEZA - MEIRELES,Avenida João Naves de Ávila,2121,,Santa Mônica,3170206,Uberlândia,MG
UFV,UNIVERSIDADE FEDERAL DE VIÇOSA,1113139,AGRONOMIA,Bacharelado,60,3735,Semestral,10,1044881,Faculdade Municipal de Palhoça,Rodovia MG - Km 6,318,,Campus,3126000,Florestal,MG
UFSM,UNIVERSIDADE FEDERAL DE SANTA MARIA,13871,QUÍMICA INDUSTRIAL,Bacharelado,15,3390,Semestral,8,657977,CAMPUS ALEGRE,Cidade Universitária Prof. José Mariano da Rocha Filho,,,,,,
UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,13094,ENGENHARIA CIVIL,Bacharelado,100,3795,Semestral,10,1039546,CAMPUS DE BOCAIUVA,Campus Universitário,s/n,UFJF,São Pedro,3136702,Juiz de Fora,MG
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,53122,CIÊNCIAS,Licenciatura,30,3375,Semestral,,2002650,CAMPUS UNIVERSITÁRIO DE ARAGUAÍNA - CIMBA,BR 316,,,,,,
IFPE,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Câmpus de Rio Claro / Instituto de Biociências,,,,,,,
IFPR,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CCS/HU - Centro de Ciências da Saúde,,,,,,,
UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,32395,CIÊNCIAS SOCIAIS,Licenciatura,40,2740,Semestral,,1647,Núcleo de Ensino Superior de Beruri,Av. Jonh Sanford,1845,Campus  Junco,Junco,2312908,Sobral,CE
UFAC,UNIVERSIDADE FEDERAL DO ACRE,106226,GEOGRAFIA,Licenciatura,40,3410,Semestral,10,869,Câmpus de Ponta Porã - CPPP,Estrada do Canela Fina Km 12,,,,,,
UFS,UNIVERSIDADE FEDERAL DE SERGIPE,94031,QUÍMICA TECNOLÓGICA,Bacharelado,40,2820,Semestral,,1006435,Faculdade de Tecnologia de São Caetano do Sul,Avenida Marechal Rondon,s/n,,Jardim Rosa Elze,2806701,São Cristóvão,SE
UEPG,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,60438,ENFERMAGEM,Bacharelado,40,4000,Anual,4,658062,CÂMPUS TRINDADE,Av. Carlos Cavalcanti,4748,Campus Universitário em Uvaranas,Uvaranas,4119905,Ponta Grossa,PR
UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,1178689,FISIOTERAPIA,Bacharelado,30,4000,Semestral,10,1084104,UNIDADE CARANGOLA,Rua Jair Rodrigues Coelho,211,CAMPUS GOVERNADOR VALADARES - Unipac,Vila Bretas,3127701,Governador Valadares,MG
UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,45134,MÚSICA - VIOLA,Bacharelado,5,2640,Semestral,8,992,Campus Dom Bosco - CDB,Rua do Passeio,98,,Centro,3304557,Rio de Janeiro,RJ
USP,UNIVERSIDADE DE SÃO PAULO,91599,FÍSICA COMPUTACIONAL,Bacharelado,40,2640,Semestral,8,1079812,Campus UnB - Gama,Avenida Trabalhador Sancarlense,400,Instituto de Física de São Carlos - IFSC,Parque Arnold Schimidt,3548906,São Carlos,SP
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1143742,HISTÓRIA,Licenciatura,50,3375,Semestral,8,152876,Campus XIX - Salvaterra,Rua Torquato Pereira de Abreu,s/n,Unidade Bequimão,Estiva,2101905,Bequimão,MA
UFS,UNIVERSIDADE FEDERAL DE SERGIPE,20764,CIÊNCIAS ECONÔMICAS,Bacharelado,100,3060,Semestral,,1006435,Campus Santa Maria da Vitória,Avenida Marechal Rondon,s/n,,Jardim Rosa Elze,2806701,São Cristóvão,SE
UNEAL,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,113749,PEDAGOGIA,Licenciatura,40,3300,Semestral,,24560,Câmpus de Marília / Faculdade de Filosofia e Ciências,Rodovia AL 115 Km 3,s/n,Rua Graciliano Ramos,Rodovia AL 115,2706307,Palmeira dos Índios,AL
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS SEDE,,,,,,,
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,1300087,ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA,Bacharelado,50,4380,Semestral,10,728,CAMPUS AMILCAR FERREIRA SOBRAL,Fazenda Experimental Lageado,S/N,,Centro,3507506,Botucatu,SP
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,116997,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,0,2930,Semestral,,2047,Campus de Itapetinga,Av.Mário Andreaza,S/N,,São Francisco,1301902,Itacoatiara,AM
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS UNIVERSITÁRIO DE SINOP,,,,,,,
UFMT,UNIVERSIDADE FEDERAL DE MATO GROSSO,25902,LETRAS PORTUGUÊS E FRANCÊS,Licenciatura,20,3612,Anual,,105340,Campus Universitário de Nova Mutum,Avenida Fernando Correa da Costa,2367,Cidade Universitária,Boa Esperança,5103403,Cuiabá,MT
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,118020,TURISMO,Bacharelado,52,3140,Semestral,,600128,Faculdade de Tecnologia de Jahu,Rua Itauba,nº 31,,Bairro Morada do Sol,1303536,Presidente Figueiredo,AM
UEFS,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,15411,GEOGRAFIA,Licenciatura,70,3240,Semestral,8,32401,CAMPUS - BIRIGUI - CENTRO,Av Transnordestina,S/N,Campus Universitárfio,Novo Horizonte,2910800,Feira de Santana,BA
IFSEMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Tancredo Neves,,,,,,,
UFV,UNIVERSIDADE FEDERAL DE VIÇOSA,701,ZOOTECNIA,Bacharelado,80,3800,Semestral,10,1005394,Litoral Norte,Av. P.H. Rolfs,s/n,Campus Universitário,Campus Universitário,3171303,Viçosa,MG
UTFPR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,1306686,ENGENHARIA DE ALIMENTOS,Bacharelado,88,4210,Semestral,10,1030745,Campus da Saúde Prof João Cardoso Nascimento Júnior,OTR Linha Santa Bárbara,s/n,,Zona Rural,4108403,Francisco Beltrão,PR
